UNITID,F1A06,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
101879,264947607,233664469,6760322,12747796,10469313,109026,0,22131096,125864568
101897,38412690,31445640,2256077,1854381,5747809,2612580,0,5103330,24151626
101994,7595275,8344280,456717,747744,1234512,254134,0,1053220,0
102030,68938061,61942299,1153700,3563830,6818906,1446491,0,6352481,39632299
102067,74870853,45012421,2847894,4338980,7476613,404294,0,6160744,47053879
102076,50210220,33866295,955257,2316000,4727067,196618,0,4696299,20331106
102094,1514346000,1180763000,33680000,44931000,18170000,35000,0,38995000,881057000
102313,29881420,28109455,2900072,1366503,6418163,308527,0,4713943,29648081
102368,558801599,366372406,18429461,39633247,25250249,424218,0,27568407,257801747
102429,65788437,51790628,1374224,5712838,5595812,62783,11017,6115156,39048417
102553,642709034,139818803,30436118,30382395,12259696,327450,267211,11366588,278963029
102614,1125691161,420376940,35917438,24895295,6269293,227243,0,6702094,375381569
102632,101018534,22949253,5980831,4586905,1288675,118511,0,1748965,45509812
102711,,,586129,1632465,159335,73789,0,316179,
103529,467273560,208551953,0,58,,,,,39198522
104151,4696817000,3498626000,420381000,180549000,173823000,3007000,23000,462730000,3212912000
104160,123993760,93441297,5697694,7413409,13238223,51252,112587,8027275,71003331
104179,3844898000,2788431000,309535000,110358000,51518000,7814000,0,267055000,2366260
104346,297184848,142822957,4297981,9349091,8489799,0,0,4977184,61081881
104425,103630069,56979554,1435705,7358679,6062801,14882,13394,3167706,51022750
104577,72601179,31473743,865851,8197065,4234492,15818,0,3995917,42186047
