,UNITID,TYPE,FORPROFIT,BOARD,FEE1_INDISTRICT_UG,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT,Highest_Bachelor,STATE_SOUTH,FULLTIME_RETENTIONRATE_SPRING
106,125763,0,0,1,390,1,5038,3128803,1,0,282882820,5081961,14028223,46168000,66458541,0,0,73
107,125897,0,0,1,1494,0,1554,2712107,0,0,65624273,5041523,4232856,0,37861337,0,0,72
108,126076,0,0,1,700,1,70,479978,0,0,14939821,106323,949238,505232,5571321,1,0,87
109,126182,1,0,1,3704,0,1690,3726086,1,1,151672729,3298216,11508007,2345505,0,0,0,59
110,126562,1,0,1,1481,0,9458,17063372,1,0,3026115603,94111074,33540191,18271992,0,0,0,73
111,126580,1,0,0,1632,0,8944,13955844,1,0,671868927,26665694,20838764,9698018,0,0,0,71
112,126614,1,0,1,1738,1,44203,22986261,1,1,3179343805,162318456,79943356,12300755,1291,0,0,85
113,126678,0,0,0,474,0,10257,1142173,1,0,1232545121,21850566,29454433,40749836,162651595,0,0,86
114,126775,1,0,0,2450,1,12044,3464964,1,0,736338669,25294221,15906506,2153749,0,0,0,92
115,126818,1,0,1,2388,0,28843,25844312,1,0,2615653293,124306846,41812902,18026169,0,0,0,85
116,127060,0,0,0,1179,0,22723,4822558,1,0,1851080133,96980930,58214211,195456126,517561837,0,0,84
117,127185,1,0,1,1840,0,3497,5494707,1,0,210880478,8688086,10560787,21272269,0,0,0,68
118,127556,1,0,1,899,0,8796,14421628,1,0,546834153,8021498,24492670,8538659,0,0,0,75
119,127741,1,0,1,2466,0,9149,12710900,1,0,380089370,22250925,23561878,7961948,0,0,0,70
120,127918,0,1,0,350,0,5912,3348648,1,0,224068186,15495253,24840778,44800639,131652611,0,0,73
121,128106,1,0,1,2242,0,2181,7132809,1,0,244841877,9515758,7676044,5818864,377476,0,0,68
122,128391,1,0,1,3830,1,2625,2292853,1,0,178222860,4422362,7636645,1406036,0,0,0,67
123,128498,0,1,1,1000,0,1697,2728330,1,0,76254091,3399233,8299472,10609568,32016824,0,0,72
124,128586,0,0,1,250,1,24,136235,0,0,6238435,37314,322675,411509,2282473,1,0,53
125,128744,0,0,0,2900,0,6020,6365911,1,0,128444000,5365000,15568000,44131000,87117000,0,0,68
126,128771,1,0,0,5340,1,7724,15240085,1,0,453755353,20719922,39899057,2414281,0,0,0,78
